tilastovuosi,okmOhjauksenAla,koulutusala02,koulutustyyppi,koulutusaste,ammattikorkeakoulu,hankkeistetutOpinnaytetyot,opinnaytetyotEiHankkeistetut,kooditKoulutusala2002,kooditOkmOhjauksenAla,kooditAmmattikorkeakoulu,kooditKoulutustyyppi,tietojoukkoPaivitettyPvm
2015,Tieto puuttuu,"Sosiaali-, terveys- ja liikunta-ala",Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,96,1,7,99,02507,2,2026-03-06
2015,Tieto puuttuu,"Sosiaali-, terveys- ja liikunta-ala",Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,33,0,7,99,02507,6,2026-03-06
2015,Tieto puuttuu,"Matkailu-, ravitsemis- ja talousala",Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,33,8,8,99,02507,1,2026-03-06
2010,Tieto puuttuu,"Sosiaali-, terveys- ja liikunta-ala",Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,238,1,7,99,02507,1,2026-03-06
2011,Tieto puuttuu,"Matkailu-, ravitsemis- ja talousala",Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,1,0,8,99,02507,2,2026-03-06
2012,Tieto puuttuu,"Sosiaali-, terveys- ja liikunta-ala",Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,81,1,7,99,02507,2,2026-03-06
2014,Tieto puuttuu,Luonnontieteiden ala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,11,9,4,99,02507,1,2026-03-06
2014,Tieto puuttuu,"Yhteiskuntatieteiden, liiketalouden ja hallinnon ala",Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,29,3,3,99,02507,6,2026-03-06
2014,Tieto puuttuu,Tekniikan ja liikenteen ala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,261,12,5,99,02507,1,2026-03-06
2014,Tieto puuttuu,Tekniikan ja liikenteen ala,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,19,0,5,99,02507,2,2026-03-06
2012,Tieto puuttuu,"Sosiaali-, terveys- ja liikunta-ala",Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,227,8,7,99,02507,1,2026-03-06
2014,Tieto puuttuu,"Matkailu-, ravitsemis- ja talousala",Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,18,5,8,99,02507,1,2026-03-06
2010,Tieto puuttuu,"Sosiaali-, terveys- ja liikunta-ala",Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,49,0,7,99,02507,2,2026-03-06
2016,Taiteet ja kulttuurialat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,20,3,99,2,02507,1,2026-03-06
2016,Taiteet ja kulttuurialat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,16,4,99,2,02507,2,2026-03-06
2016,"Kauppa, hallinto ja oikeustieteet",Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,131,36,99,5,02507,1,2026-03-06
2016,"Kauppa, hallinto ja oikeustieteet",Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,0,76,99,5,02507,2,2026-03-06
2016,"Kauppa, hallinto ja oikeustieteet",Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,27,2,99,5,02507,6,2026-03-06
2016,Tietojenkäsittely ja tietoliikenne,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,28,7,99,7,02507,1,2026-03-06
2016,Tekniikan alat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,190,5,99,8,02507,1,2026-03-06
2016,Tekniikan alat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,28,1,99,8,02507,2,2026-03-06
2016,Tekniikan alat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,2,0,99,8,02507,6,2026-03-06
2016,Terveys- ja hyvinvointialat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,224,46,99,11,02507,1,2026-03-06
2016,Terveys- ja hyvinvointialat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,91,0,99,11,02507,2,2026-03-06
2016,Terveys- ja hyvinvointialat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,50,0,99,11,02507,6,2026-03-06
2016,Palvelualat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,35,8,99,12,02507,1,2026-03-06
2016,Palvelualat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,1,0,99,12,02507,2,2026-03-06
2016,Palvelualat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,1,0,99,12,02507,6,2026-03-06
2015,Tieto puuttuu,Luonnontieteiden ala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,7,8,4,99,02507,1,2026-03-06
2010,Tieto puuttuu,"Matkailu-, ravitsemis- ja talousala",Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,26,4,8,99,02507,1,2026-03-06
2011,Tieto puuttuu,Luonnontieteiden ala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,13,6,4,99,02507,1,2026-03-06
2010,Tieto puuttuu,"Sosiaali-, terveys- ja liikunta-ala",Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,16,0,7,99,02507,6,2026-03-06
2010,Tieto puuttuu,"Yhteiskuntatieteiden, liiketalouden ja hallinnon ala",Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,11,2,3,99,02507,6,2026-03-06
2010,Tieto puuttuu,Luonnontieteiden ala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,15,6,4,99,02507,1,2026-03-06
2015,Tieto puuttuu,Tekniikan ja liikenteen ala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,231,2,5,99,02507,1,2026-03-06
2010,Tieto puuttuu,"Yhteiskuntatieteiden, liiketalouden ja hallinnon ala",Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,18,23,3,99,02507,2,2026-03-06
2011,Tieto puuttuu,"Yhteiskuntatieteiden, liiketalouden ja hallinnon ala",Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,141,52,3,99,02507,1,2026-03-06
2015,Tieto puuttuu,Kulttuuriala,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,2,0,2,99,02507,2,2026-03-06
2015,Tieto puuttuu,"Yhteiskuntatieteiden, liiketalouden ja hallinnon ala",Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,133,54,3,99,02507,1,2026-03-06
2015,Tieto puuttuu,"Yhteiskuntatieteiden, liiketalouden ja hallinnon ala",Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,2,71,3,99,02507,2,2026-03-06
2015,Tieto puuttuu,"Yhteiskuntatieteiden, liiketalouden ja hallinnon ala",Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,33,2,3,99,02507,6,2026-03-06
2011,Tieto puuttuu,Kulttuuriala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,11,28,2,99,02507,1,2026-03-06
2011,Tieto puuttuu,Kulttuuriala,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,3,0,2,99,02507,2,2026-03-06
2014,Tieto puuttuu,"Sosiaali-, terveys- ja liikunta-ala",Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,178,24,7,99,02507,1,2026-03-06
2014,Tieto puuttuu,"Sosiaali-, terveys- ja liikunta-ala",Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,79,1,7,99,02507,2,2026-03-06
2014,Tieto puuttuu,"Sosiaali-, terveys- ja liikunta-ala",Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,34,2,7,99,02507,6,2026-03-06
2014,Tieto puuttuu,"Yhteiskuntatieteiden, liiketalouden ja hallinnon ala",Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,121,61,3,99,02507,1,2026-03-06
2014,Tieto puuttuu,Tekniikan ja liikenteen ala,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,8,0,5,99,02507,6,2026-03-06
2013,Tieto puuttuu,Luonnontieteiden ala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,6,6,4,99,02507,1,2026-03-06
2013,Tieto puuttuu,"Yhteiskuntatieteiden, liiketalouden ja hallinnon ala",Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,27,5,3,99,02507,6,2026-03-06
2013,Tieto puuttuu,"Yhteiskuntatieteiden, liiketalouden ja hallinnon ala",Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,49,28,3,99,02507,2,2026-03-06
2013,Tieto puuttuu,"Yhteiskuntatieteiden, liiketalouden ja hallinnon ala",Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,141,55,3,99,02507,1,2026-03-06
2012,Tieto puuttuu,Tekniikan ja liikenteen ala,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,29,6,5,99,02507,2,2026-03-06
2012,Tieto puuttuu,"Matkailu-, ravitsemis- ja talousala",Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,20,5,8,99,02507,1,2026-03-06
2012,Tieto puuttuu,"Matkailu-, ravitsemis- ja talousala",Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,1,0,8,99,02507,2,2026-03-06
2012,Tieto puuttuu,"Sosiaali-, terveys- ja liikunta-ala",Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,21,0,7,99,02507,6,2026-03-06
2012,Tieto puuttuu,Tekniikan ja liikenteen ala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,193,33,5,99,02507,1,2026-03-06
2015,Tieto puuttuu,Kulttuuriala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,33,11,2,99,02507,1,2026-03-06
2010,Tieto puuttuu,"Yhteiskuntatieteiden, liiketalouden ja hallinnon ala",Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,110,61,3,99,02507,1,2026-03-06
2012,Tieto puuttuu,Luonnontieteiden ala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,15,6,4,99,02507,1,2026-03-06
2012,Tieto puuttuu,"Yhteiskuntatieteiden, liiketalouden ja hallinnon ala",Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,16,0,3,99,02507,6,2026-03-06
2011,Tieto puuttuu,"Matkailu-, ravitsemis- ja talousala",Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,25,1,8,99,02507,1,2026-03-06
2012,Tieto puuttuu,"Yhteiskuntatieteiden, liiketalouden ja hallinnon ala",Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,36,33,3,99,02507,2,2026-03-06
2011,Tieto puuttuu,"Sosiaali-, terveys- ja liikunta-ala",Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,18,3,7,99,02507,6,2026-03-06
2011,Tieto puuttuu,"Sosiaali-, terveys- ja liikunta-ala",Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,80,16,7,99,02507,2,2026-03-06
2011,Tieto puuttuu,"Yhteiskuntatieteiden, liiketalouden ja hallinnon ala",Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,13,1,3,99,02507,6,2026-03-06
2011,Tieto puuttuu,"Sosiaali-, terveys- ja liikunta-ala",Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,205,23,7,99,02507,1,2026-03-06
2013,Tieto puuttuu,"Matkailu-, ravitsemis- ja talousala",Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,3,0,8,99,02507,2,2026-03-06
2014,Tieto puuttuu,Kulttuuriala,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,2,1,2,99,02507,2,2026-03-06
2014,Tieto puuttuu,Kulttuuriala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,49,1,2,99,02507,1,2026-03-06
2012,Tieto puuttuu,Tekniikan ja liikenteen ala,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,7,2,5,99,02507,6,2026-03-06
2012,Tieto puuttuu,"Yhteiskuntatieteiden, liiketalouden ja hallinnon ala",Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,123,77,3,99,02507,1,2026-03-06
2011,Tieto puuttuu,"Yhteiskuntatieteiden, liiketalouden ja hallinnon ala",Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,37,18,3,99,02507,2,2026-03-06
2012,Tieto puuttuu,Kulttuuriala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,37,2,2,99,02507,1,2026-03-06
2012,Tieto puuttuu,Kulttuuriala,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,6,0,2,99,02507,2,2026-03-06
2013,Tieto puuttuu,Tekniikan ja liikenteen ala,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,24,0,5,99,02507,6,2026-03-06
2013,Tieto puuttuu,Kulttuuriala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,37,12,2,99,02507,1,2026-03-06
2013,Tieto puuttuu,Tekniikan ja liikenteen ala,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,29,0,5,99,02507,2,2026-03-06
2013,Tieto puuttuu,Tekniikan ja liikenteen ala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,225,5,5,99,02507,1,2026-03-06
2010,Tieto puuttuu,Kulttuuriala,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,1,0,2,99,02507,2,2026-03-06
2010,Tieto puuttuu,Tekniikan ja liikenteen ala,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,15,0,5,99,02507,2,2026-03-06
2010,Tieto puuttuu,Tekniikan ja liikenteen ala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,206,4,5,99,02507,1,2026-03-06
2010,Tieto puuttuu,Tekniikan ja liikenteen ala,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,1,2,5,99,02507,6,2026-03-06
2010,Tieto puuttuu,Kulttuuriala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,44,7,2,99,02507,1,2026-03-06
2011,Tieto puuttuu,Tekniikan ja liikenteen ala,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,10,8,5,99,02507,2,2026-03-06
2011,Tieto puuttuu,Tekniikan ja liikenteen ala,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,16,0,5,99,02507,6,2026-03-06
2015,Tieto puuttuu,Tekniikan ja liikenteen ala,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,25,0,5,99,02507,2,2026-03-06
2015,Tieto puuttuu,Tekniikan ja liikenteen ala,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,9,0,5,99,02507,6,2026-03-06
2015,Tieto puuttuu,"Sosiaali-, terveys- ja liikunta-ala",Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,207,39,7,99,02507,1,2026-03-06
2011,Tieto puuttuu,Tekniikan ja liikenteen ala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Satakunnan ammattikorkeakoulu,220,10,5,99,02507,1,2026-03-06
2011,Tieto puuttuu,Tekniikan ja liikenteen ala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Turun ammattikorkeakoulu,217,104,5,99,02509,1,2026-03-06
2015,Tieto puuttuu,Luonnonvara- ja ympäristöala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Turun ammattikorkeakoulu,16,20,6,99,02509,1,2026-03-06
2015,Tieto puuttuu,"Sosiaali-, terveys- ja liikunta-ala",Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Turun ammattikorkeakoulu,276,166,7,99,02509,1,2026-03-06
2015,Tieto puuttuu,Tekniikan ja liikenteen ala,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Turun ammattikorkeakoulu,21,17,5,99,02509,6,2026-03-06
2015,Tieto puuttuu,Tekniikan ja liikenteen ala,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Turun ammattikorkeakoulu,8,19,5,99,02509,2,2026-03-06
2011,Tieto puuttuu,Tekniikan ja liikenteen ala,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Turun ammattikorkeakoulu,8,12,5,99,02509,6,2026-03-06
2011,Tieto puuttuu,Tekniikan ja liikenteen ala,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Turun ammattikorkeakoulu,24,7,5,99,02509,2,2026-03-06
2010,Tieto puuttuu,Kulttuuriala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Turun ammattikorkeakoulu,45,115,2,99,02509,1,2026-03-06
2011,Tieto puuttuu,Luonnonvara- ja ympäristöala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Turun ammattikorkeakoulu,22,13,6,99,02509,1,2026-03-06
2011,Tieto puuttuu,"Matkailu-, ravitsemis- ja talousala",Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Turun ammattikorkeakoulu,7,2,8,99,02509,2,2026-03-06
2010,Tieto puuttuu,Tekniikan ja liikenteen ala,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Turun ammattikorkeakoulu,19,0,5,99,02509,6,2026-03-06
2010,Tieto puuttuu,Tekniikan ja liikenteen ala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Turun ammattikorkeakoulu,282,90,5,99,02509,1,2026-03-06
2010,Tieto puuttuu,Tekniikan ja liikenteen ala,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Turun ammattikorkeakoulu,28,11,5,99,02509,2,2026-03-06
2010,Tieto puuttuu,Kulttuuriala,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Turun ammattikorkeakoulu,5,18,2,99,02509,2,2026-03-06
2013,Tieto puuttuu,Tekniikan ja liikenteen ala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Turun ammattikorkeakoulu,279,116,5,99,02509,1,2026-03-06
2013,Tieto puuttuu,Tekniikan ja liikenteen ala,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Turun ammattikorkeakoulu,28,16,5,99,02509,2,2026-03-06
2013,Tieto puuttuu,Kulttuuriala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Turun ammattikorkeakoulu,43,113,2,99,02509,1,2026-03-06
2013,Tieto puuttuu,Luonnontieteiden ala,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Turun ammattikorkeakoulu,5,1,4,99,02509,2,2026-03-06
2013,Tieto puuttuu,Tekniikan ja liikenteen ala,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Turun ammattikorkeakoulu,39,4,5,99,02509,6,2026-03-06
2013,Tieto puuttuu,Luonnontieteiden ala,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Turun ammattikorkeakoulu,5,0,4,99,02509,6,2026-03-06
2011,Tieto puuttuu,"Matkailu-, ravitsemis- ja talousala",Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Turun ammattikorkeakoulu,1,6,8,99,02509,6,2026-03-06
2012,Tieto puuttuu,Kulttuuriala,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Turun ammattikorkeakoulu,1,17,2,99,02509,2,2026-03-06
2012,Tieto puuttuu,Kulttuuriala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Turun ammattikorkeakoulu,45,106,2,99,02509,1,2026-03-06
2011,Tieto puuttuu,"Yhteiskuntatieteiden, liiketalouden ja hallinnon ala",Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Turun ammattikorkeakoulu,23,23,3,99,02509,2,2026-03-06
2013,Tieto puuttuu,Luonnonvara- ja ympäristöala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Turun ammattikorkeakoulu,19,16,6,99,02509,1,2026-03-06
2016,Kasvatusalat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Turun ammattikorkeakoulu,2,4,99,1,02509,1,2026-03-06
2016,Kasvatusalat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Turun ammattikorkeakoulu,0,0,99,1,02509,2,2026-03-06
2016,Kasvatusalat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Turun ammattikorkeakoulu,0,0,99,1,02509,6,2026-03-06
2016,Lääketieteet,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Turun ammattikorkeakoulu,5,13,99,10,02509,1,2026-03-06
2016,Lääketieteet,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Turun ammattikorkeakoulu,2,1,99,10,02509,2,2026-03-06
2016,Lääketieteet,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Turun ammattikorkeakoulu,0,0,99,10,02509,6,2026-03-06
2016,Terveys- ja hyvinvointialat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Turun ammattikorkeakoulu,179,149,99,11,02509,1,2026-03-06
2016,Terveys- ja hyvinvointialat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Turun ammattikorkeakoulu,48,96,99,11,02509,2,2026-03-06
2016,Terveys- ja hyvinvointialat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Turun ammattikorkeakoulu,14,30,99,11,02509,6,2026-03-06
2016,Palvelualat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Turun ammattikorkeakoulu,3,15,99,12,02509,1,2026-03-06
2016,Palvelualat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Turun ammattikorkeakoulu,0,5,99,12,02509,2,2026-03-06
2016,Palvelualat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Turun ammattikorkeakoulu,0,3,99,12,02509,6,2026-03-06
2016,Taiteet ja kulttuurialat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Turun ammattikorkeakoulu,7,153,99,2,02509,1,2026-03-06
2016,Taiteet ja kulttuurialat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Turun ammattikorkeakoulu,2,17,99,2,02509,2,2026-03-06
2016,Taiteet ja kulttuurialat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Turun ammattikorkeakoulu,1,16,99,2,02509,6,2026-03-06
