tilastovuosi,okmOhjauksenAla,koulutusala02,koulutustyyppi,koulutusaste,ammattikorkeakoulu,hankkeistetutOpinnaytetyot,opinnaytetyotEiHankkeistetut,kooditKoulutusala2002,kooditOkmOhjauksenAla,kooditAmmattikorkeakoulu,kooditKoulutustyyppi,tietojoukkoPaivitettyPvm
2012,Tieto puuttuu,"Yhteiskuntatieteiden, liiketalouden ja hallinnon ala",Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,27,6,3,99,02467,2,2026-03-06
2013,Tieto puuttuu,Luonnonvara- ja ympäristöala,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,29,6,6,99,02467,2,2026-03-06
2014,Tieto puuttuu,Kulttuuriala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,51,36,2,99,02467,1,2026-03-06
2014,Tieto puuttuu,Kulttuuriala,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,7,5,2,99,02467,2,2026-03-06
2012,Tieto puuttuu,Tekniikan ja liikenteen ala,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,52,2,5,99,02467,6,2026-03-06
2012,Tieto puuttuu,Luonnonvara- ja ympäristöala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,121,14,6,99,02467,1,2026-03-06
2011,Tieto puuttuu,"Yhteiskuntatieteiden, liiketalouden ja hallinnon ala",Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,17,2,3,99,02467,6,2026-03-06
2011,Tieto puuttuu,Luonnontieteiden ala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,19,0,4,99,02467,1,2026-03-06
2011,Tieto puuttuu,Luonnonvara- ja ympäristöala,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,7,1,6,99,02467,6,2026-03-06
2011,Tieto puuttuu,"Sosiaali-, terveys- ja liikunta-ala",Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,133,17,7,99,02467,1,2026-03-06
2011,Tieto puuttuu,"Sosiaali-, terveys- ja liikunta-ala",Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,75,10,7,99,02467,2,2026-03-06
2011,Tieto puuttuu,"Sosiaali-, terveys- ja liikunta-ala",Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,19,3,7,99,02467,6,2026-03-06
2011,Tieto puuttuu,"Matkailu-, ravitsemis- ja talousala",Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,13,7,8,99,02467,1,2026-03-06
2012,Tieto puuttuu,"Yhteiskuntatieteiden, liiketalouden ja hallinnon ala",Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,23,1,3,99,02467,6,2026-03-06
2012,Tieto puuttuu,Luonnontieteiden ala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,20,0,4,99,02467,1,2026-03-06
2012,Tieto puuttuu,Luonnontieteiden ala,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,6,0,4,99,02467,2,2026-03-06
2015,Tieto puuttuu,Kulttuuriala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,37,33,2,99,02467,1,2026-03-06
2015,Tieto puuttuu,Humanistinen ja kasvatusala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,0,0,1,99,02467,1,2026-03-06
2015,Tieto puuttuu,Humanistinen ja kasvatusala,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,0,0,1,99,02467,2,2026-03-06
2015,Tieto puuttuu,Humanistinen ja kasvatusala,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,0,0,1,99,02467,6,2026-03-06
2012,Tieto puuttuu,Luonnonvara- ja ympäristöala,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,30,4,6,99,02467,2,2026-03-06
2012,Tieto puuttuu,Tekniikan ja liikenteen ala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,223,37,5,99,02467,1,2026-03-06
2012,Tieto puuttuu,"Matkailu-, ravitsemis- ja talousala",Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,0,1,8,99,02467,1,2026-03-06
2012,Tieto puuttuu,Tekniikan ja liikenteen ala,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,91,10,5,99,02467,2,2026-03-06
2013,Tieto puuttuu,"Yhteiskuntatieteiden, liiketalouden ja hallinnon ala",Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,121,10,3,99,02467,1,2026-03-06
2013,Tieto puuttuu,"Yhteiskuntatieteiden, liiketalouden ja hallinnon ala",Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,27,4,3,99,02467,2,2026-03-06
2013,Tieto puuttuu,"Yhteiskuntatieteiden, liiketalouden ja hallinnon ala",Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,25,0,3,99,02467,6,2026-03-06
2013,Tieto puuttuu,Luonnontieteiden ala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,29,0,4,99,02467,1,2026-03-06
2014,Tieto puuttuu,"Yhteiskuntatieteiden, liiketalouden ja hallinnon ala",Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,98,10,3,99,02467,1,2026-03-06
2014,Tieto puuttuu,Tekniikan ja liikenteen ala,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,46,1,5,99,02467,6,2026-03-06
2013,Tieto puuttuu,Luonnonvara- ja ympäristöala,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,4,0,6,99,02467,6,2026-03-06
2014,Tieto puuttuu,Luonnonvara- ja ympäristöala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,116,11,6,99,02467,1,2026-03-06
